GEO_ID,NAME,totalHHS,hascomputer,dialup,broadband,nointernet,nocomputer,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpoverty
1400000US53033000100,"Census Tract 1, King County, Washington",3899,3546,0,3333,213,353,6825,67.5,6.9,16.9
1400000US53033000200,"Census Tract 2, King County, Washington",3693,3563,0,3225,338,130,7260,68,5.9,14.3
1400000US53033000300,"Census Tract 3, King County, Washington",1159,1140,0,1103,37,19,2517,74.1,0.7,9.2
1400000US53033000401,"Census Tract 4.01, King County, Washington",3842,3244,0,2931,313,598,6010,61.4,3,11
1400000US53033000402,"Census Tract 4.02, King County, Washington",2373,2151,15,1959,177,222,4801,67.7,3.5,11.1
1400000US53033000500,"Census Tract 5, King County, Washington",1268,1233,17,1197,19,35,2612,63.7,1.1,100
1400000US53033000600,"Census Tract 6, King County, Washington",3431,3146,0,2844,302,285,6684,71,2.9,8.7
1400000US53033000700,"Census Tract 7, King County, Washington",2249,2126,0,1920,206,123,4493,74,3.7,16.6
1400000US53033000800,"Census Tract 8, King County, Washington",1116,1057,0,1047,10,59,2362,67,4.4,24.5
1400000US53033000900,"Census Tract 9, King County, Washington",861,833,0,813,20,28,1723,65.8,4.1,32
1400000US53033001000,"Census Tract 10, King County, Washington",769,726,0,690,36,43,1610,69.7,8.8,44.8
1400000US53033001100,"Census Tract 11, King County, Washington",1039,992,0,919,73,47,2333,68.2,2.5,12
1400000US53033001200,"Census Tract 12, King County, Washington",3762,3294,0,3060,234,468,6084,62.7,7.5,34.3
1400000US53033001300,"Census Tract 13, King County, Washington",2333,2146,0,2017,129,187,4205,75.9,3,21.4
1400000US53033001400,"Census Tract 14, King County, Washington",2386,2276,0,2189,87,110,4795,81.1,2.9,0
1400000US53033001500,"Census Tract 15, King County, Washington",1147,1088,16,1035,37,59,2338,68.8,2,100
1400000US53033001600,"Census Tract 16, King County, Washington",1873,1807,0,1734,73,66,3846,69.4,4,41.3
1400000US53033001701,"Census Tract 17.01, King County, Washington",2016,1936,0,1871,65,80,3547,82.3,5.9,38.2
1400000US53033001702,"Census Tract 17.02, King County, Washington",2356,2213,0,2058,155,143,4328,71.2,2.9,0
1400000US53033001800,"Census Tract 18, King County, Washington",2311,2262,0,2181,81,49,4534,85.4,3.7,2.4
1400000US53033001900,"Census Tract 19, King County, Washington",2286,2148,0,2002,146,138,4356,74.4,4,29.7
1400000US53033002000,"Census Tract 20, King County, Washington",1648,1547,0,1456,91,101,3175,75,3.6,32.2
1400000US53033002100,"Census Tract 21, King County, Washington",1771,1754,7,1652,95,17,3560,77.4,4.7,75.4
1400000US53033002200,"Census Tract 22, King County, Washington",2338,2248,0,2212,36,90,4707,66.3,4.6,28.3
1400000US53033002400,"Census Tract 24, King County, Washington",1295,1261,8,1226,27,34,2553,72.4,5.9,38.3
1400000US53033002500,"Census Tract 25, King County, Washington",1318,1235,0,1153,82,83,2723,69.9,3.3,13.6
1400000US53033002600,"Census Tract 26, King County, Washington",1946,1894,20,1855,19,52,4149,72.8,4.9,31.2
1400000US53033002700,"Census Tract 27, King County, Washington",2459,2408,0,2266,142,51,5369,77.4,0.8,0
1400000US53033002800,"Census Tract 28, King County, Washington",2160,2130,0,2093,37,30,4019,80.2,2.3,15.2
1400000US53033002900,"Census Tract 29, King County, Washington",1967,1922,0,1822,100,45,3798,77.5,4.8,39.5
1400000US53033003000,"Census Tract 30, King County, Washington",2627,2475,0,2429,46,152,5013,77,3.7,0
1400000US53033003100,"Census Tract 31, King County, Washington",2778,2694,0,2672,22,84,5085,72.7,4.1,32.1
1400000US53033003200,"Census Tract 32, King County, Washington",4402,4201,14,4046,141,201,7748,74.9,1.6,0
1400000US53033003300,"Census Tract 33, King County, Washington",3382,3258,0,3181,77,124,6416,82.5,5.2,0
1400000US53033003400,"Census Tract 34, King County, Washington",1560,1524,0,1480,44,36,3045,81.8,4.1,7.8
1400000US53033003500,"Census Tract 35, King County, Washington",1921,1836,9,1768,59,85,3535,71.1,2.8,18.6
1400000US53033003600,"Census Tract 36, King County, Washington",3745,3516,35,3297,184,229,6263,74.6,3.3,5
1400000US53033003800,"Census Tract 38, King County, Washington",915,877,8,842,27,38,1887,71.6,2,19.5
1400000US53033003900,"Census Tract 39, King County, Washington",1202,1174,0,1174,0,28,2394,68.2,2.4,9.3
1400000US53033004000,"Census Tract 40, King County, Washington",1396,1366,0,1214,152,30,2541,69.8,3.7,22.9
1400000US53033004100,"Census Tract 41, King County, Washington",2957,2932,0,2692,240,25,6300,62.6,4,8.4
1400000US53033004200,"Census Tract 42, King County, Washington",3370,3284,0,3249,35,86,6768,69.9,3.7,9.4
1400000US53033004301,"Census Tract 43.01, King County, Washington",1458,1398,0,1329,69,60,3148,63.5,1.7,0
1400000US53033004302,"Census Tract 43.02, King County, Washington",1594,1502,0,1283,219,92,4045,52.9,10.8,20.1
1400000US53033004400,"Census Tract 44, King County, Washington",2757,2701,15,2472,214,56,7271,76,7.5,17.7
1400000US53033004500,"Census Tract 45, King County, Washington",1027,961,0,937,24,66,2858,75.8,5.1,24.4
1400000US53033004600,"Census Tract 46, King County, Washington",1420,1394,0,1386,8,26,2941,75.3,3.5,40.7
1400000US53033004700,"Census Tract 47, King County, Washington",5721,5387,0,5065,322,334,8827,84.5,3.1,13.2
1400000US53033004800,"Census Tract 48, King County, Washington",2212,2189,0,2130,59,23,4424,82.4,5,52.7
1400000US53033004900,"Census Tract 49, King County, Washington",3654,3610,16,3422,172,44,6667,85.9,2.5,11.9
1400000US53033005000,"Census Tract 50, King County, Washington",1994,1926,0,1857,69,68,3553,81.1,1.2,17.7
1400000US53033005100,"Census Tract 51, King County, Washington",1711,1697,0,1617,80,14,3064,78.3,3,32.3
1400000US53033005200,"Census Tract 52, King County, Washington",3075,2869,0,2596,273,206,6236,63.5,3.6,7.6
1400000US53033005301,"Census Tract 53.01, King County, Washington",3085,3045,12,2705,328,40,8134,52,9.2,4.4
1400000US53033005302,"Census Tract 53.02, King County, Washington",117,104,0,53,51,13,5320,32,17.6,0
1400000US53033005400,"Census Tract 54, King County, Washington",3291,3169,0,2962,207,122,5572,86.5,1.7,8.6
1400000US53033005600,"Census Tract 56, King County, Washington",2763,2713,29,2641,43,50,5430,61.8,4.8,45.3
1400000US53033005700,"Census Tract 57, King County, Washington",2856,2748,17,2711,20,108,5464,73.3,2.9,37.3
1400000US53033005801,"Census Tract 58.01, King County, Washington",2747,2685,18,2507,160,62,4658,85,2.9,5.3
1400000US53033005802,"Census Tract 58.02, King County, Washington",3037,2998,0,2810,188,39,5197,77.7,6.3,45.1
1400000US53033005900,"Census Tract 59, King County, Washington",2773,2647,17,2460,170,126,6841,72.1,4.2,8.3
1400000US53033006000,"Census Tract 60, King County, Washington",2650,2601,0,2535,66,49,5230,80,2.9,0
1400000US53033006100,"Census Tract 61, King County, Washington",2962,2920,0,2771,149,42,4879,78.4,1.2,18.2
1400000US53033006200,"Census Tract 62, King County, Washington",1665,1665,0,1644,21,0,3708,73.4,4.3,10.3
1400000US53033006300,"Census Tract 63, King County, Washington",2705,2639,0,2447,192,66,4950,60.2,3.4,0
1400000US53033006400,"Census Tract 64, King County, Washington",1369,1340,0,1288,52,29,2919,75.6,4.8,61.5
1400000US53033006500,"Census Tract 65, King County, Washington",2560,2546,15,2501,30,14,4374,81.9,3.5,2
1400000US53033006600,"Census Tract 66, King County, Washington",2341,2324,0,2263,61,17,4037,84.7,4,68.1
1400000US53033006700,"Census Tract 67, King County, Washington",5115,5009,0,4845,164,106,8951,82.2,3.7,24.4
1400000US53033006800,"Census Tract 68, King County, Washington",1442,1387,0,1304,83,55,2646,76.5,2.7,11.8
1400000US53033006900,"Census Tract 69, King County, Washington",2313,2280,0,2218,62,33,4219,71.9,1.2,21.1
1400000US53033007000,"Census Tract 70, King County, Washington",5104,4846,0,4571,275,258,7047,78.7,2.3,12.2
1400000US53033007100,"Census Tract 71, King County, Washington",3222,3123,0,2912,211,99,4700,83.3,1.5,9.2
1400000US53033007200,"Census Tract 72, King County, Washington",6672,6479,0,5896,583,193,9971,83.4,1.6,16
1400000US53033007300,"Census Tract 73, King County, Washington",4850,4440,0,4198,242,410,7154,78.6,7.3,43.4
1400000US53033007401,"Census Tract 74.01, King County, Washington",3842,3727,0,3627,100,115,5410,86.8,2.2,11.8
1400000US53033007402,"Census Tract 74.02, King County, Washington",3699,3449,20,3070,359,250,5403,83.6,2.8,12.7
1400000US53033007500,"Census Tract 75, King County, Washington",6221,6031,0,5517,514,190,8721,83.4,1.6,18.8
1400000US53033007600,"Census Tract 76, King County, Washington",2273,2195,0,2099,96,78,4038,77.9,4.5,45
1400000US53033007700,"Census Tract 77, King County, Washington",2450,2360,0,2277,83,90,4614,85.5,4.2,36.4
1400000US53033007800,"Census Tract 78, King County, Washington",2304,2247,0,2096,151,57,4693,69.4,1.4,0
1400000US53033007900,"Census Tract 79, King County, Washington",3430,3204,0,2928,276,226,5651,77.9,4.8,30.9
1400000US53033008001,"Census Tract 80.01, King County, Washington",4872,4705,0,4497,208,167,6976,83.4,5.1,29.3
1400000US53033008002,"Census Tract 80.02, King County, Washington",2566,2239,0,1863,376,327,3563,67.3,3,22.8
1400000US53033008100,"Census Tract 81, King County, Washington",2805,2327,0,2130,197,478,4533,60.6,6.5,49.3
1400000US53033008200,"Census Tract 82, King County, Washington",2855,2749,0,2492,257,106,4175,71.6,4.8,56.6
1400000US53033008300,"Census Tract 83, King County, Washington",2138,1910,0,1777,133,228,3195,77.5,1.4,23
1400000US53033008400,"Census Tract 84, King County, Washington",3345,3130,0,2817,313,215,4642,80.4,1.9,19.7
1400000US53033008500,"Census Tract 85, King County, Washington",1865,1592,0,1322,270,273,4097,32.8,3.9,8
1400000US53033008600,"Census Tract 86, King County, Washington",2308,2220,0,1890,330,88,5881,65.9,11.1,14.4
1400000US53033008700,"Census Tract 87, King County, Washington",1851,1716,0,1651,65,135,3917,80.5,3.7,19.7
1400000US53033008800,"Census Tract 88, King County, Washington",1671,1580,0,1436,144,91,3598,82.2,2.7,10.4
1400000US53033008900,"Census Tract 89, King County, Washington",2498,2426,0,2225,201,72,5288,76.9,2.5,0
1400000US53033009000,"Census Tract 90, King County, Washington",1798,1513,0,1320,193,285,3003,64.8,5.2,8.5
1400000US53033009100,"Census Tract 91, King County, Washington",1569,1213,27,1000,186,356,2327,62,6.2,14.3
1400000US53033009200,"Census Tract 92, King County, Washington",1895,1496,0,1168,328,399,2696,61,5.2,20
1400000US53033009300,"Census Tract 93, King County, Washington",1195,1072,0,1004,68,123,2463,74.1,2.8,16.3
1400000US53033009400,"Census Tract 94, King County, Washington",2941,2497,34,2219,244,444,6256,74,5,0
1400000US53033009500,"Census Tract 95, King County, Washington",2697,2615,16,2476,123,82,5241,74.2,4.7,0
1400000US53033009600,"Census Tract 96, King County, Washington",2849,2608,0,2542,66,241,5030,66.2,2.7,27.7
1400000US53033009701,"Census Tract 97.01, King County, Washington",3119,3032,16,2844,172,87,5345,72.2,1.8,0
1400000US53033009702,"Census Tract 97.02, King County, Washington",2339,2244,0,2182,62,95,4378,71.4,1.5,1.4
1400000US53033009800,"Census Tract 98, King County, Washington",3165,3052,0,2950,102,113,5912,73.9,3.6,17
1400000US53033009900,"Census Tract 99, King County, Washington",3096,3082,17,2867,198,14,5300,80,5.6,0
1400000US53033010001,"Census Tract 100.01, King County, Washington",1639,1458,0,1287,171,181,3674,68.6,11.7,12.7
1400000US53033010002,"Census Tract 100.02, King County, Washington",1860,1701,0,1547,154,159,4084,75,2.5,13.6
1400000US53033010100,"Census Tract 101, King County, Washington",3185,3020,18,2696,306,165,7252,69.4,4.4,23.8
1400000US53033010200,"Census Tract 102, King County, Washington",1974,1910,0,1861,49,64,3906,75.6,3,29.8
1400000US53033010300,"Census Tract 103, King County, Washington",2825,2483,0,2366,117,342,5713,74,9.6,33.1
1400000US53033010401,"Census Tract 104.01, King County, Washington",1441,1303,0,1230,73,138,3787,67.2,8,38.7
1400000US53033010402,"Census Tract 104.02, King County, Washington",1747,1611,38,1515,58,136,4229,72.5,4.9,0.6
1400000US53033010500,"Census Tract 105, King County, Washington",4410,4125,24,3931,170,285,7425,74.5,4.3,18.9
1400000US53033010600,"Census Tract 106, King County, Washington",3730,3490,0,3408,82,240,6972,73,2.7,18.5
1400000US53033010701,"Census Tract 107.01, King County, Washington",1546,1464,0,1390,74,82,2870,78,10.4,50
1400000US53033010702,"Census Tract 107.02, King County, Washington",1600,1462,0,1308,154,138,3300,62.6,7.5,12.8
1400000US53033010800,"Census Tract 108, King County, Washington",1890,1769,0,1675,94,121,3959,68.3,4.9,18.6
1400000US53033010900,"Census Tract 109, King County, Washington",593,555,10,508,37,38,1023,75.3,6,63.6
1400000US53033011001,"Census Tract 110.01, King County, Washington",1647,1285,21,1027,237,362,3638,49.5,7.5,31
1400000US53033011002,"Census Tract 110.02, King County, Washington",1382,1229,0,1089,140,153,3464,64.6,3.9,3.9
1400000US53033011101,"Census Tract 111.01, King County, Washington",1913,1602,0,1490,112,311,4661,67.9,10.1,47.8
1400000US53033011102,"Census Tract 111.02, King County, Washington",1601,1363,0,1333,30,238,3922,70.2,3.7,7.5
1400000US53033011200,"Census Tract 112, King County, Washington",1436,1211,16,1084,111,225,2796,74.9,11.1,35.8
1400000US53033011300,"Census Tract 113, King County, Washington",3021,2789,13,2383,393,232,5603,73,3.4,7.1
1400000US53033011401,"Census Tract 114.01, King County, Washington",1782,1682,19,1609,54,100,3665,74.5,4.1,19.3
1400000US53033011402,"Census Tract 114.02, King County, Washington",1999,1692,7,1561,124,307,3490,72.3,6.4,27.6
1400000US53033011500,"Census Tract 115, King County, Washington",1984,1929,0,1850,79,55,3745,79.7,3.5,33.9
1400000US53033011600,"Census Tract 116, King County, Washington",3163,2961,0,2926,35,202,5908,72.7,2.2,19.1
1400000US53033011700,"Census Tract 117, King County, Washington",1642,1568,9,1488,71,74,4527,62.8,6.5,30.1
1400000US53033011800,"Census Tract 118, King County, Washington",2866,2541,21,2370,150,325,6647,68,8.1,38.7
1400000US53033011900,"Census Tract 119, King County, Washington",2587,2512,0,2273,239,75,6178,75,5.6,4.9
1400000US53033012000,"Census Tract 120, King County, Washington",1532,1430,0,1381,49,102,2968,77.7,1.1,55.6
1400000US53033012100,"Census Tract 121, King County, Washington",1181,1158,0,1143,15,23,2169,68.1,2.8,40
1400000US53033020100,"Census Tract 201, King County, Washington",1286,1207,11,1099,97,79,2838,61.6,4.5,50
1400000US53033020200,"Census Tract 202, King County, Washington",2134,2026,0,1848,178,108,4372,53,2.7,49.2
1400000US53033020300,"Census Tract 203, King County, Washington",3146,2872,17,2703,152,274,5976,68.6,5.9,8.5
1400000US53033020401,"Census Tract 204.01, King County, Washington",1475,1421,0,1374,47,54,3126,71.8,5.1,12
1400000US53033020402,"Census Tract 204.02, King County, Washington",2234,2133,0,2050,83,101,4450,71.5,4.4,17.3
1400000US53033020500,"Census Tract 205, King County, Washington",2844,2728,0,2532,196,116,5577,71,6.2,19.6
1400000US53033020600,"Census Tract 206, King County, Washington",1318,1227,11,1184,32,91,2839,71.2,1.3,60
1400000US53033020700,"Census Tract 207, King County, Washington",1508,1424,0,1308,116,84,3243,68.3,5.5,17.5
1400000US53033020800,"Census Tract 208, King County, Washington",1778,1646,0,1596,50,132,3526,65.3,5.4,75
1400000US53033020900,"Census Tract 209, King County, Washington",1411,1319,3,1219,97,92,3149,67.3,6.1,28.3
1400000US53033021000,"Census Tract 210, King County, Washington",2158,2000,0,1950,50,158,5095,68,1.4,11.4
1400000US53033021100,"Census Tract 211, King County, Washington",1590,1528,0,1392,136,62,3745,69.3,3.9,34.6
1400000US53033021300,"Census Tract 213, King County, Washington",1756,1712,11,1652,49,44,3425,66.4,4.2,11
1400000US53033021400,"Census Tract 214, King County, Washington",1450,1431,9,1388,34,19,3230,64.9,5.6,46.3
1400000US53033021500,"Census Tract 215, King County, Washington",1744,1688,7,1620,61,56,3797,69.8,4.5,12.7
1400000US53033021600,"Census Tract 216, King County, Washington",1849,1815,10,1768,37,34,4194,72.1,4.1,10.4
1400000US53033021700,"Census Tract 217, King County, Washington",3651,3382,13,3282,87,269,6960,70.8,7.3,43.7
1400000US53033021802,"Census Tract 218.02, King County, Washington",2279,2177,0,2074,103,102,4500,76.3,5.2,17.4
1400000US53033021803,"Census Tract 218.03, King County, Washington",2090,2014,17,1900,97,76,3968,69.5,3.8,0
1400000US53033021804,"Census Tract 218.04, King County, Washington",1945,1836,10,1720,106,109,4245,66.6,3.9,4.1
1400000US53033021903,"Census Tract 219.03, King County, Washington",2501,2386,0,2273,113,115,5102,67.4,3.1,24.2
1400000US53033021904,"Census Tract 219.04, King County, Washington",1793,1708,8,1620,80,85,3967,71.2,2.1,29.5
1400000US53033021905,"Census Tract 219.05, King County, Washington",2238,2212,0,2145,67,26,4529,74.1,5.2,0
1400000US53033021906,"Census Tract 219.06, King County, Washington",1717,1675,0,1602,73,42,3469,71.2,3.9,0
1400000US53033022001,"Census Tract 220.01, King County, Washington",2323,2007,18,1879,110,316,4681,64.8,5.4,0
1400000US53033022003,"Census Tract 220.03, King County, Washington",1933,1891,0,1782,109,42,4167,74,4.5,58.6
1400000US53033022005,"Census Tract 220.05, King County, Washington",2195,2156,0,2109,47,39,3969,73.1,2.3,6.1
1400000US53033022006,"Census Tract 220.06, King County, Washington",1747,1709,8,1584,117,38,3278,67.6,3.6,1.2
1400000US53033022101,"Census Tract 221.01, King County, Washington",1795,1709,9,1640,60,86,3841,64.1,3.1,10
1400000US53033022102,"Census Tract 221.02, King County, Washington",2384,2344,0,2297,47,40,4938,71.1,3.5,0
1400000US53033022201,"Census Tract 222.01, King County, Washington",1700,1690,0,1626,64,10,3657,73.5,6,7.7
1400000US53033022202,"Census Tract 222.02, King County, Washington",3401,3302,50,3095,157,99,6353,76.8,4.8,27.1
1400000US53033022203,"Census Tract 222.03, King County, Washington",1842,1830,9,1791,30,12,3915,69.8,5.9,47.2
1400000US53033022300,"Census Tract 223, King County, Washington",1056,1048,0,1041,7,8,2290,60.9,3,0
1400000US53033022400,"Census Tract 224, King County, Washington",3682,3509,0,3413,96,173,7145,70.9,4,12.8
1400000US53033022500,"Census Tract 225, King County, Washington",3998,3726,0,3542,184,272,7025,68.4,2.2,22.6
1400000US53033022603,"Census Tract 226.03, King County, Washington",2499,2395,0,2258,137,104,5107,70.8,4,23.7
1400000US53033022604,"Census Tract 226.04, King County, Washington",1861,1831,11,1732,88,30,4159,73.3,4,32.8
1400000US53033022605,"Census Tract 226.05, King County, Washington",2595,2572,0,2438,134,23,5253,76.2,3.2,5.9
1400000US53033022606,"Census Tract 226.06, King County, Washington",2368,2302,0,2302,0,66,5029,68.5,3.6,70.5
1400000US53033022701,"Census Tract 227.01, King County, Washington",1615,1559,0,1451,108,56,2826,71.4,1.7,0
1400000US53033022702,"Census Tract 227.02, King County, Washington",1395,1369,0,1225,144,26,3543,64.4,1.7,12.3
1400000US53033022703,"Census Tract 227.03, King County, Washington",819,800,0,788,12,19,1812,67.2,4.6,16
1400000US53033022801,"Census Tract 228.01, King County, Washington",3950,3833,82,3578,173,117,7654,69.9,4.6,56.9
1400000US53033022802,"Census Tract 228.02, King County, Washington",2106,2056,7,2012,37,50,4241,69.3,5,31.1
1400000US53033022803,"Census Tract 228.03, King County, Washington",2479,2367,0,2294,73,112,4697,70.6,4.6,0
1400000US53033022901,"Census Tract 229.01, King County, Washington",1041,1041,0,1030,11,0,2358,62.3,7.2,41.2
1400000US53033022902,"Census Tract 229.02, King County, Washington",2409,2382,0,2260,122,27,5096,64.9,4.6,26.3
1400000US53033023000,"Census Tract 230, King County, Washington",2094,2068,12,1989,67,26,4593,62.4,4.5,31.1
1400000US53033023100,"Census Tract 231, King County, Washington",1437,1416,15,1379,22,21,3293,65.2,4.3,31.4
1400000US53033023201,"Census Tract 232.01, King County, Washington",2640,2530,0,2415,115,110,5536,74.3,3.7,48.9
